# Hayabusa2 data processed
#=================================================================================================================================================================================================
# |------ Spacecraft ------| |------ Earth ------| |------ 1999JU3 ------|
# UTC L+ X Y Z X Y Z X Y Z Rs Re Ra Vs Ve alpha delta Dflt
# [day] [au] [au] [au] [au] [au] [au] [au] [au] [au] [10^4km] [10^4km] [10^4km] [km/s] [km/s] [deg] [deg] [10^4km]
#--------1---------------2--------3---------4---------5---------6---------7---------8---------9---------10--------11--------12---------13---------14-------15-------16-------17-------18-----19----
2014/12/03.05:00:00 0.0 0.325037 0.930594 -0.000010 0.325234 0.930600 -0.000031 -0.805848 -1.019952 -0.045649 14746.2 3.0 33736.3 23.54 6.92 -175.83 4.86 0.0
2014/12/04.05:00:00 1.0 0.309534 0.937664 -0.002231 0.308668 0.936062 -0.000030 -0.796246 -1.030534 -0.044366 14771.8 42.7 33778.4 30.20 4.78 69.75 -28.92 257.1
2014/12/05.05:00:00 2.0 0.293598 0.944389 -0.004351 0.292008 0.941235 -0.000030 -0.786536 -1.040977 -0.043077 14795.0 83.5 33816.6 30.15 4.68 70.98 -29.05 517.8
2014/12/06.05:00:00 3.0 0.277564 0.950806 -0.006443 0.275259 0.946119 -0.000030 -0.776723 -1.051282 -0.041782 14817.9 123.7 33853.9 30.10 4.64 71.41 -29.08 778.0
2014/12/07.05:00:00 4.0 0.261440 0.956926 -0.008523 0.258425 0.950711 -0.000029 -0.766806 -1.061448 -0.040482 14840.6 163.8 33890.3 30.05 4.63 71.63 -29.08 1037.9
2014/12/08.05:00:00 5.0 0.245236 0.962751 -0.010594 0.241511 0.955011 -0.000029 -0.756788 -1.071475 -0.039176 14863.3 203.7 33925.9 30.01 4.61 71.76 -29.06 1297.3
2014/12/09.05:00:00 6.0 0.228956 0.968283 -0.012658 0.224523 0.959017 -0.000029 -0.746672 -1.081361 -0.037865 14886.0 243.5 33960.8 29.96 4.61 71.85 -29.04 1556.4
2014/12/10.05:00:00 7.0 0.212606 0.973523 -0.014716 0.207464 0.962728 -0.000029 -0.736458 -1.091106 -0.036550 14908.6 283.3 33994.9 29.92 4.60 71.91 -29.00 1815.1
2014/12/11.05:00:00 8.0 0.196192 0.978469 -0.016767 0.190340 0.966141 -0.000030 -0.726149 -1.100709 -0.035229 14931.1 323.1 34028.3 29.87 4.60 71.96 -28.95 2073.4
2014/12/12.05:00:00 9.0 0.179719 0.983124 -0.018811 0.173156 0.969257 -0.000030 -0.715746 -1.110171 -0.033904 14953.7 362.8 34060.9 29.83 4.60 72.00 -28.89 2331.3
2014/12/13.05:00:00 10.0 0.163193 0.987486 -0.020849 0.155918 0.972072 -0.000030 -0.705251 -1.119491 -0.032575 14976.2 402.5 34092.8 29.78 4.60 72.02 -28.82 2588.8
2014/12/14.05:00:00 11.0 0.146618 0.991557 -0.022880 0.138629 0.974587 -0.000031 -0.694667 -1.128667 -0.031242 14998.7 442.2 34124.0 29.74 4.60 72.05 -28.74 2845.9
2014/12/15.05:00:00 12.0 0.129999 0.995335 -0.024903 0.121296 0.976800 -0.000032 -0.683994 -1.137701 -0.029904 15021.1 482.0 34154.4 29.69 4.60 72.07 -28.65 3102.7
2014/12/16.05:00:00 13.0 0.113343 0.998823 -0.026919 0.103924 0.978710 -0.000032 -0.673234 -1.146590 -0.028563 15043.5 521.7 34184.0 29.65 4.60 72.09 -28.55 3359.0
2014/12/17.05:00:00 14.0 0.096653 1.002019 -0.028925 0.086519 0.980315 -0.000033 -0.662390 -1.155335 -0.027218 15065.8 561.5 34212.9 29.61 4.60 72.12 -28.44 3615.0
2014/12/18.05:00:00 15.0 0.079935 1.004924 -0.030923 0.069084 0.981616 -0.000033 -0.651463 -1.163936 -0.025870 15088.0 601.2 34241.0 29.56 4.61 72.14 -28.33 3870.6
2014/12/19.05:00:00 16.0 0.063194 1.007540 -0.032912 0.051628 0.982610 -0.000034 -0.640455 -1.172391 -0.024519 15110.2 641.0 34268.3 29.52 4.61 72.17 -28.20 4125.8
2014/12/20.05:00:00 17.0 0.046434 1.009866 -0.034891 0.034154 0.983299 -0.000034 -0.629367 -1.180701 -0.023164 15132.3 680.9 34294.9 29.47 4.62 72.20 -28.06 4380.7
2014/12/21.05:00:00 18.0 0.029662 1.011903 -0.036860 0.016668 0.983680 -0.000035 -0.618202 -1.188866 -0.021807 15154.4 720.8 34320.7 29.43 4.62 72.23 -27.92 4635.1
2014/12/22.05:00:00 19.0 0.012880 1.013651 -0.038817 -0.000822 0.983754 -0.000035 -0.606960 -1.196884 -0.020447 15176.3 760.7 34345.7 29.39 4.63 72.27 -27.77 4889.2
2014/12/23.05:00:00 20.0 -0.003905 1.015112 -0.040764 -0.018313 0.983520 -0.000035 -0.595645 -1.204755 -0.019084 15198.2 800.7 34369.9 29.35 4.64 72.31 -27.61 5143.0
2014/12/24.05:00:00 21.0 -0.020689 1.016287 -0.042699 -0.035797 0.982979 -0.000035 -0.584256 -1.212480 -0.017720 15220.0 840.7 34393.3 29.30 4.64 72.37 -27.44 5396.3
2014/12/25.05:00:00 22.0 -0.037468 1.017175 -0.044621 -0.053269 0.982131 -0.000034 -0.572797 -1.220058 -0.016353 15241.7 880.7 34415.9 29.26 4.65 72.42 -27.26 5649.3
2014/12/26.05:00:00 23.0 -0.054236 1.017779 -0.046531 -0.070724 0.980976 -0.000034 -0.561269 -1.227488 -0.014984 15263.2 920.8 34437.8 29.22 4.65 72.49 -27.08 5901.9
2014/12/27.05:00:00 24.0 -0.070989 1.018100 -0.048428 -0.088155 0.979515 -0.000033 -0.549673 -1.234771 -0.013613 15284.7 960.9 34458.8 29.18 4.66 72.56 -26.89 6154.2
2014/12/28.05:00:00 25.0 -0.087722 1.018137 -0.050311 -0.105556 0.977749 -0.000033 -0.538011 -1.241905 -0.012240 15306.1 1001.0 34479.0 29.14 4.66 72.64 -26.70 6406.1
2014/12/29.05:00:00 26.0 -0.104431 1.017894 -0.052180 -0.122923 0.975678 -0.000032 -0.526285 -1.248892 -0.010867 15327.3 1041.1 34498.4 29.09 4.67 72.73 -26.50 6657.7
2014/12/30.05:00:00 27.0 -0.121112 1.017370 -0.054034 -0.140250 0.973305 -0.000031 -0.514496 -1.255729 -0.009492 15348.4 1081.3 34517.0 29.05 4.67 72.82 -26.29 6908.9
2014/12/31.05:00:00 28.0 -0.137759 1.016567 -0.055874 -0.157532 0.970629 -0.000030 -0.502647 -1.262419 -0.008115 15369.4 1121.5 34534.8 29.01 4.68 72.92 -26.08 7159.7
2015/01/01.05:00:00 29.0 -0.154369 1.015487 -0.057698 -0.174764 0.967652 -0.000030 -0.490738 -1.268959 -0.006738 15390.2 1161.7 34551.7 28.97 4.69 73.03 -25.87 7410.2
